mode	0	enabled	1	enabled	1	enabled	0	enabled	0.000000	enabled	1	enabled	1
serial port	2	Function code	0	Function code	1	Function code	1	Function code	0.000000	Function code	0	Function code	1
baud rate	9600	read/write	1	read/write	0	read/write	0	read/write	1.000000	read/write	1	read/write	1
data bits	8	register size	0	register size	0	register size	0	register size	1.000000	register size	0	register size	0
stop bits	10	data type	4	data type	4	data type	3	data type	0.000000	data type	0	data type	0
parity	0	1st Register	0	1st Register	0	1st Register	30001	1st Register	7001.000000	1st Register	0	1st Register	0
slave ID	1	offset	0	offset	0	offset	30001	offset	0.000000	offset	0	offset	0
byte order	1	num of values	110	num of values	100	num of values	100	num of values	100.000000	num of values	100	num of values	1000
word order	1	0	100	0	32769	30001	0	7001	0.000000	0	1	0	0
add noise	0	1	200	1	32770	30002	0	7002	0.000000	1	1	1	1
%reading	1	2	300	2	3000	30003	0	7003	0.000000	2	1	2	0
scroll lock	0	3	400	3	44	30004	0	7004	0.000000	3	1	3	1
		4	500	4	55	30005	0	7005	0.000000	4	1	4	0
		5	666	5	66	30006	0	7006	0.000000	5	0	5	1
		6	0	6	77	30007	0	7007	0.000000	6	0	6	0
		7	1	7	88	30008	0	7008	0.000000	7	0	7	1
		8	2	8	99	30009	0	7009	0.000000	8	1	8	0
		9	0	9	111	30010	0	7010	0.000000	9	0	9	0
		10	1	10	222	30011	0	7011	0.000000	10	0	10	0
		11	2	11	333	30012	0	7012	0.000000	11	0	11	0
		12	0	12	444	30013	0	7013	0.000000	12	0	12	0
		13	1	13	555	30014	0	7014	0.000000	13	0	13	0
		14	2	14	666	30015	0	7015	0.000000	14	0	14	0
		15	0	15	777	30016	0	7016	0.000000	15	0	15	0
		16	1	16	888	30017	0	7017	0.000000	16	0	16	0
		17	0	17	999	30018	0	7018	0.000000	17	0	17	0
		18	1	18	111	30019	0	7019	0.000000	18	0	18	0
		19	222	19	222	30020	0	7020	0.000000	19	0	19	0
		20	4	20	333	30021	0	7021	0.000000	20	0	20	0
		21	7	21	444	30022	0	7022	0.000000	21	0	21	0
		22	555	22	555	30023	0	7023	0.000000	22	0	22	0
		23	666	23	666	30024	0	7024	0.000000	23	0	23	0
		24	777	24	777	30025	0	7025	0.000000	24	0	24	0
		25	888	25	888	30026	0	7026	0.000000	25	0	25	0
		26	2	26	999	30027	0	7027	0.000000	26	0	26	0
		27	4	27	0	30028	0	7028	0.000000	27	0	27	0
		28	222	28	0	30029	0	7029	0.000000	28	0	28	0
		29	333	29	0	30030	0	7030	0.000000	29	0	29	0
		30	444	30	0	30031	0	7031	0.000000	30	0	30	0
		31	555	31	0	30032	0	7032	0.000000	31	1	31	0
		32	666	32	0	30033	0	7033	0.000000	32	1	32	0
		33	777	33	0	30034	0	7034	0.000000	33	0	33	0
		34	888	34	0	30035	0	7035	0.000000	34	0	34	0
		35	999	35	0	30036	0	7036	0.000000	35	0	35	0
		36	1004	36	0	30037	0	7037	0.000000	36	0	36	0
		37	1111	37	0	30038	0	7038	0.000000	37	0	37	0
		38	2222	38	0	30039	0	7039	0.000000	38	0	38	0
		39	2	39	0	30040	0	7040	0.000000	39	0	39	0
		40	4444	40	0	30041	0	7041	0.000000	40	0	40	0
		41	5555	41	0	30042	0	7042	0.000000	41	0	41	0
		42	6666	42	0	30043	0	7043	0.000000	42	0	42	0
		43	7777	43	0	30044	0	7044	0.000000	43	0	43	0
		44	8888	44	0	30045	0	7045	0.000000	44	0	44	0
		45	9999	45	0	30046	0	7046	0.000000	45	0	45	0
		46	1111	46	0	30047	0	7047	0.000000	46	0	46	0
		47	2222	47	0	30048	0	7048	0.000000	47	0	47	0
